timestamp,vehicle_id,latitude,longitude,trip_id,route_id,stop_id,current_status,current_stop_sequence
2025-06-16T15:57:33,1905,34.056854248046875,-118.00814819335938,t5EB-b15FAD-sl3,10282,3402,2,2337
2025-06-16T15:57:29,2125,33.99214172363281,-117.92976379394531,t66D-b15FE9-sl3,10282,,2,0
2025-06-16T15:57:27,2130,34.06061553955078,-118.0151138305664,t609-b15FAC-sl3,10282,3354,0,781
2025-06-16T15:57:54,2141,33.99216842651367,-117.94719696044922,t5EB-b15FD7-sl3,10282,1699,1,2742
2025-06-16T15:57:36,2152,34.008636474609375,-117.96367645263672,t609-b15FE7-sl3,10282,3022,0,960
2025-06-16T15:57:53,3129,33.9924201965332,-117.92945098876953,t64F-b15FB0-sl3,10282,,2,0
2025-06-16T15:58:19,1905,34.060157775878906,-118.0138931274414,t5EB-b15FAD-sl3,10282,3402,2,2337
2025-06-16T15:57:59,2125,33.99214172363281,-117.92976379394531,t66D-b15FE9-sl3,10282,,2,0
2025-06-16T15:57:57,2130,34.0605354309082,-118.01496124267578,t609-b15FAC-sl3,10282,3354,0,781
2025-06-16T15:58:06,2152,34.00884246826172,-117.9636001586914,t609-b15FE7-sl3,10282,3022,0,960
2025-06-16T15:58:23,3129,33.9924201965332,-117.92945098876953,t64F-b15FB0-sl3,10282,,2,0
2025-06-16T15:58:49,1905,34.06150817871094,-118.01657104492188,t5EB-b15FAD-sl3,10282,3391,2,2464
2025-06-16T15:58:29,2125,33.99214172363281,-117.92976379394531,t66D-b15FE9-sl3,10282,,2,0
2025-06-16T15:58:50,2130,34.059879302978516,-118.01367950439453,t609-b15FAC-sl3,10282,3354,1,781
2025-06-16T15:58:35,2141,33.99040222167969,-117.94564056396484,t5EB-b15FD7-sl3,10282,2981,1,2803
2025-06-16T15:58:36,2152,34.0096321105957,-117.9633560180664,t609-b15FE7-sl3,10282,3022,0,960
2025-06-16T15:58:53,3129,33.9924201965332,-117.92945098876953,t64F-b15FB0-sl3,10282,,2,0
2025-06-16T15:58:59,2125,33.99214172363281,-117.92976379394531,t66D-b15FE9-sl3,10282,,2,0
